"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","culture_ID","date","time_point","day"
"sample_00001",51.7500333333333,5.04511744494946,359.7615,80.1165521787929,69.04575,10.4059906501512,26.24697,4.99088868910137,17.38476,1.95372672026636,1.52153333333333,0.306975876097369,-0.03,0.33,1.24,30,104.11,104,83.96,116.04,93.58,8.25,2.13,1.38,27.94,179.83,53.37,"sample_00001-10",1,"19.10.22",4,26
"sample_00001",52.6756153846154,4.232525671358,280.524807692308,73.0442001200585,72.4597961538461,10.0198130037992,31.9023692307692,5.03883105345005,11.0884846153846,1.67824745964644,2.91907692307692,0.530835160488956,-0.11,0.44,1.68,39,102.79,69,41,166.81,99.29,10.65,0.86,2.02,41.91,169.07,21.46,"sample_00001-1013",1,"19.10.22",4,26
"sample_00001",51.1331111111111,3.82220857754472,247.86,44.650534727395,64.14135,5.83835799262087,28.4544,3.0013657962155,11.1975,2.28309803615445,2.67318518518518,0.712859142254034,-0.02,0.48,1.16,27,75.97,76,65.49,88.89,76.63,8.59,1.02,1.78,31.3,128.54,25.52,"sample_00001-1049",1,"19.10.22",4,26
"sample_00001",49.4565555555556,1.98372393266443,221.7375,31.3106267058253,56.55615,5.13070602783267,23.7708,2.5604679212537,11.89215,1.17944680391666,2.02055555555556,0.300805627675125,0.04,0.83,1.12,27,133.16,127,113.2,169.64,151.46,88.63,0.41,17.45,212.7,1107.89,10.37,"sample_00001-1053",1,"19.10.22",4,26
"sample_00001",49.2611612903226,3.16139711832996,289.953870967742,66.2069456667209,69.1835370967742,8.42043041151468,29.0993806451613,3.35740871545496,12.6563806451613,2.42274788723732,2.37867741935484,0.520128983176082,-0.09,0.62,1.24,31,58.11,58,46.86,97.26,78.44,6.77,0.76,1.43,35.68,169.22,19.04,"sample_00001-1102",1,"19.10.22",4,26
"sample_00001",53.3720322580645,5.01525436698792,237.042580645161,40.5860983614046,58.4143258064516,5.73706291944277,24.5527983870968,2.95209808535906,12.3082112903226,1.66099084523414,2.03638709677419,0.423893436091302,-0.02,0.49,1.24,31,70.04,70,56.49,89.07,71.83,5.11,0.69,1.29,32.14,127.73,17.3,"sample_00001-1105",1,"19.10.22",4,26
"sample_00001",51.867375,4.73225942738175,194.7796875,24.3348484834674,48.6864,3.93996082382311,19.19818125,1.35295276089748,12.94970625,1.62825504514018,1.510125,0.25735296561929,-0.23,0.49,1.16,24,107.69,106,91,144.71,124.75,85.21,0.99,17.59,140.12,710.08,12.38,"sample_00001-1125",1,"19.10.22",4,26
"sample_00001",53.0638695652174,5.10025562910463,284.547717391304,65.3501573949252,63.7383717391304,9.10051453370315,27.0032869565217,4.05842405128511,13.3500326086956,2.01897104427932,2.05821739130435,0.402008475320172,0.16,0.61,1.08,23,41.63,42,38.55,75.08,69.52,12.27,0.24,2.3,30.03,129.52,5.93,"sample_00001-1135",1,"19.10.22",4,26
"sample_00001",52.2280476190476,3.32521609036451,231.978214285714,49.5577357366061,55.0965857142857,5.38656286671155,22.6312071428571,1.83428049022537,12.9665571428571,2.07276352059791,1.77461904761905,0.222094231395252,0.21,0.97,1.04,21,54.68,55,52.58,78.26,75.25,14.43,0.44,3.28,45.36,165.32,10.91,"sample_00001-1145",1,"19.10.22",4,26
"sample_00001",55.2197346938776,3.49868698950571,288.717474489796,52.4404088450101,66.6019607142857,6.39912465533353,28.3450408163265,2.91355677139145,12.9550408163265,1.86972432802309,2.23181632653061,0.382458874466957,0,0.49,3.92,98,221.58,185,47.08,321.24,81.95,7.38,0.74,1.4,35.05,184.43,18.49,"sample_00001-121",1,"19.10.22",4,26
"sample_00001",51.2156071428572,4.44644755698121,333.908035714286,60.4258584592368,67.1841482142857,5.5100269491255,26.4093267857143,2.96485471315026,16.1460482142857,2.6846559621466,1.68217857142857,0.345492139972921,-0.1,0.73,1.12,28,63.85,64,57.01,96.76,86.39,7.74,0.83,1.79,44.74,193.38,20.87,"sample_00001-146",1,"19.10.22",4,26
"sample_00001",53.6465714285714,4.21946755081386,329.723724489796,55.3105424451144,69.0438214285715,6.4420000739149,28.6592464285714,2.70232439014064,14.5755367346939,1.56786896117305,1.97931632653061,0.204782036348672,0,0.45,3.92,98,281.95,282,71.93,309.9,79.06,6.95,0.29,1.31,32.74,173.8,7.25,"sample_00001-159",1,"19.10.22",4,26
"sample_00001",57.6858947368421,4.63694701978531,363.444868421053,63.5296214321047,70.2647289473684,7.50667361102891,27.3086171052632,2.72619426186318,16.9217526315789,2.53271504692332,1.64163157894737,0.253673915080038,0,0.42,1.56,38,87.68,88,56.2,121.18,77.68,7.45,0.55,1.36,29.24,136.09,13.85,"sample_00001-175",1,"19.10.22",4,26
"sample_00001",63.781618556701,4.59412817591492,295.414097938144,48.4322320363636,61.7156536082474,6.4522926297325,23.616593814433,2.95856278534107,15.9363324742268,1.85179426843435,1.50345360824742,0.266666537263714,0,0.47,3.92,97,264.71,264,67.45,363.41,92.71,8.67,0.61,1.45,34.03,184.2,15.36,"sample_00001-202",1,"19.10.22",4,26
