"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","culture_ID","date","time_point","day"
"sample_00001",51.2471304347826,3.90797539194295,246.0375,65.61,62.2372304347826,9.45913113148708,25.8504456521739,3.82665144387816,11.9987413043478,1.83617963678865,2.18382608695652,0.381365924512727,-0.08,0.75,1.08,23,92.57,93,85.72,106.3,98.43,16.53,1.58,3.36,35.78,188.46,39.62,"sample_00001-23",1,"05.10.22",2,12
"sample_00001",51.1795769230769,2.74683694274801,229.004134615385,33.2778339267157,59.2423096153846,4.43572130006682,24.8227615384615,1.78994850866939,11.7854221153846,1.78493932879847,2.16582692307692,0.430381532566931,-0.03,0.47,2.2,52,202.9,203,92.23,214.84,97.65,11.72,1.15,2.06,34.1,169.05,28.87,"sample_00001-24",1,"05.10.22",2,12
"sample_00001",62.61288,9.33479806209004,276.2181,74.9685768209755,68.70663,10.070097984069,29.521746,4.50026727766252,11.787282,2.10383047097431,2.55436,0.431175899914022,0.01,0.51,1.04,25,78.75,79,75.72,86.04,82.73,6.64,0.82,1.5,38.11,165.96,20.56,"sample_00001-252",1,"05.10.22",2,12
"sample_00001",50.7902931034483,3.89070712920091,339.644870689655,72.3831503113545,70.8498620689655,9.57429563079273,28.6973224137931,4.88489185202498,15.0863896551724,2.0992865722096,1.9398275862069,0.426415090494097,0.01,0.54,2.36,58,147.09,142,60.28,217.84,92.31,7.8,1.04,1.52,35.69,191.56,26.1,"sample_00001-26",1,"05.10.22",2,12
"sample_00001",49.1914310344828,3.7736718221748,336.25125,95.6051680595978,68.3416551724138,12.3139322051327,26.3662681034483,6.09602916655875,16.1227706896552,2.36863150170731,1.65636206896552,0.416881517867492,0.01,0.31,2.48,58,285.35,285,115.06,304.77,122.89,17.49,1.46,2.39,39.86,237.24,36.49,"sample_00001-277",1,"05.10.22",2,12
"sample_00001",50.6404666666667,3.57314385839255,343.90575,84.5566633469954,70.6208625,10.6996570683626,28.34622,4.6126806811904,15.44535,3.11314487928313,1.90346666666667,0.4675378518771,-0.05,0.65,2.48,60,113.09,112,45.12,190.08,76.65,7.03,0.56,1.41,33.08,150.96,8.08,"sample_00001-278",1,"05.10.22",2,12
"sample_00001",54.8334915254237,3.78651183022636,281.900593220339,44.188663807868,62.0593855932203,6.98622236256064,25.5798686440678,3.7120854246392,14.1032669491525,1.6895759254355,1.84801694915254,0.381982013095464,-0.01,0.43,2.4,59,152.23,152,63.43,200.39,83.5,7.77,0.57,1.3,29.32,150.83,14.13,"sample_00001-286",1,"05.10.22",2,12
"sample_00001",51.0913629032258,4.29677591427275,427.126391129032,112.03867768312,80.1592657258065,13.5188253769465,32.2425072580645,6.35825103494361,16.7958399193548,2.8921090473893,1.96532258064516,0.48375217985916,-0.01,0.63,5,124,216.31,201,40.21,401.51,80.3,6.54,0.46,1.35,34.04,163.42,11.4,"sample_00001-29",1,"05.10.22",2,12
"sample_00001",45.8678064516129,1.56121899850416,265.085564516129,69.7311121460789,57.0689419354839,7.73582861234116,22.0705403225806,3.01114833052163,15.1647677419355,2.70425825676063,1.48822580645161,0.274206577805544,-0.04,0.58,1.32,31,102.88,103,77.94,121.26,91.86,9.39,1.45,1.82,30.35,156.32,36.25,"sample_00001-299",1,"05.10.22",2,12
"sample_00001",64.3158790322581,4.39656413816746,414.559959677419,88.9431237310849,75.5562774193548,8.69622052319879,30.0726870967742,3.37536166973242,17.4200951612903,2.59780122816854,1.75123387096774,0.245047468733838,0.02,0.38,5,124,226.8,227,45.36,536.2,107.24,10.14,1.36,1.49,34.89,217.02,33.96,"sample_00001-30",1,"05.10.22",2,12
"sample_00001",49.91408,2.06680189584456,190.9251,25.0014851796348,56.619324,5.71513526343865,24.364638,2.13642761736151,9.984546,1.01936826565525,2.46636,0.337949932189173,-0.02,0.26,1.56,25,195.11,195,125.07,200.91,128.79,18.28,1.85,4.83,37.55,198.97,46.18,"sample_00001-310",1,"05.10.22",2,12
"sample_00001",62.3717281553398,4.89941929571045,283.142184466019,51.0471337088304,62.2211330097087,7.40454107532693,24.5696199029126,3.56579856565131,14.7108975728155,1.99906417337795,1.7041359223301,0.360997937328953,-0.1,0.55,4.12,103,105.82,75,18.13,327.72,79.54,6.51,0.48,1.42,36.22,162.8,11.97,"sample_00001-32",1,"05.10.22",2,12
"sample_00001",58.5399318181818,4.78601613422934,279.215284090909,48.3077714726708,63.7980852272727,6.20255266596108,26.5773886363636,2.69022787443359,13.3071954545455,1.292194111787,2.00563636363636,0.198631023000178,0.04,0.32,1.8,44,198.53,199,110.29,285.79,158.77,87.64,1.58,12.72,152.98,1095.46,39.54,"sample_00001-323",1,"05.10.22",2,12
"sample_00001",52.7779210526316,4.09828036040945,231.793223684211,45.1495420456104,63.2094157894737,5.67179451372845,27.7886486842105,2.42785849262286,10.5731644736842,1.50678809266724,2.67071052631579,0.390362333964349,0,0.2,1.72,38,226.85,227,131.89,232.67,135.27,18.55,3.24,3.12,38.7,289.84,80.94,"sample_00001-330",1,"05.10.22",2,12
"sample_00001",52.2435789473684,3.48813835294338,235.678026315789,38.0244867502628,55.6682092105263,5.0992967924821,22.3845631578947,2.86874658359766,13.495772368421,2.09133100355864,1.70702631578947,0.379624457877113,0.03,0.61,1.64,38,77.45,77,46.92,138.36,84.37,12.89,0.6,2.43,42.6,202.83,7.45,"sample_00001-336",1,"05.10.22",2,12
"sample_00001",53.5867027027027,4.9428055228723,275.739324324324,66.271630181337,63.8358810810811,10.4312534010536,26.2542891891892,4.7050281842221,13.3195743243243,1.98863824183583,2.00743243243243,0.428189050961562,-0.2,1.39,1.6,37,68.89,69,43.06,116.34,72.71,7.31,0.35,1.76,41.72,182.76,8.67,"sample_00001-341",1,"05.10.22",2,12
"sample_00001",52.5742592592593,4.82657511629896,298.2825,86.4398985400572,64.6107,10.6084715755943,27.0306,5.32894844874888,13.96575,2.50092160420606,1.98392592592593,0.481145342340379,-0.07,0.65,1.08,27,67.75,68,62.73,81.2,75.19,5.81,1.47,1.24,31.11,145.33,36.82,"sample_00001-349",1,"05.10.22",2,12
"sample_00001",54.0117027027027,4.5889551755932,344.895810810811,77.7545482147143,83.6288878378379,7.12619093558915,37.3425324324324,3.73009022999698,11.6900513513514,2.00658428369395,3.26613513513514,0.525121476007756,0.05,0.73,1.48,37,139.14,139,94.01,149.44,100.97,9.04,0.46,2.16,53.98,226.11,11.53,"sample_00001-351",1,"05.10.22",2,12
"sample_00001",47.4682857142857,2.32231512611307,277.670892857143,59.0436961903761,70.8998785714286,9.20787849495513,30.5601428571429,3.75428387597802,11.5192125,1.7459756296624,2.70410714285714,0.479258249356982,0,0.85,1.12,28,85.87,86,76.67,93.86,83.8,7.63,0.21,1.87,46.65,190.77,5.3,"sample_00001-353",1,"05.10.22",2,12
"sample_00001",48.29665625,1.37372847036169,207.0815625,36.260644242304,63.7091578125,6.68780846762937,27.3272484375,2.80465709218713,9.617990625,1.08092320886253,2.86453125,0.357677362669388,-0.02,0.2,1.4,32,150.27,150,107.34,152.87,109.19,12.19,1.98,2.49,40.18,197.59,49.62,"sample_00001-356",1,"05.10.22",2,12
"sample_00001",50.6238965517241,2.14576730107084,220.585344827586,38.1124883435074,62.8005568965517,4.79836071233343,26.5910431034483,2.16044036039961,10.5417310344828,1.48378652496949,2.56665517241379,0.400659213570235,0.01,0.36,1.24,29,124.67,125,100.54,129.8,104.68,11.8,2.2,2.08,33.33,162.32,54.88,"sample_00001-366",1,"05.10.22",2,12
"sample_00001",59.4219430894309,4.6543003494227,291.511097560975,44.8372002646962,65.8674548780488,6.60254366073427,27.7760524390244,3.14745929611341,13.361806097561,1.32254561544849,2.09862601626016,0.30466384050466,0.02,0.49,5,123,497.48,497,99.5,549.63,109.93,7.76,0.97,1.45,37.02,193.95,24.32,"sample_00001-50",1,"05.10.22",2,12
"sample_00001",57.0038444444444,5.1644256873149,325.4985,76.0516904162587,69.39351,12.3010773711114,28.33947,4.86525199117775,14.62095,2.09394777993952,1.97442222222222,0.423582957898712,0.07,0.46,1.8,45,120.59,98,54.31,165.52,91.96,12.5,1.28,2.01,50.16,312.47,32.02,"sample_00001-53",1,"05.10.22",2,12
"sample_00001",52.3107580645161,4.48948615733484,295.774112903226,68.1145170037869,81.9360072580645,8.09039457988707,36.1588572580645,4.09882174972918,10.3437653225806,1.71282553480242,3.56087096774194,0.535109778345542,0.01,0.47,2.6,62,278.33,278,107.05,293.55,112.9,11.35,0.76,2.48,57.81,265.24,19.1,"sample_00001-54",1,"05.10.22",2,12
"sample_00001",54.4728222222222,4.75920543263919,309.825,70.8574196494765,72.649125,10.9221596807582,31.58613,5.51223838572974,12.41505,1.42657352803803,2.56248888888889,0.472597085785697,-0.03,0.4,3.88,90,337.84,333,85.71,382.26,98.52,13.52,0.74,2.16,32.93,188.93,18.58,"sample_00001-58",1,"05.10.22",2,12
"sample_00001",59.4338548387097,5.43142736886997,319.981028225806,70.5419436161747,70.1712798387097,8.9182948728272,29.6206548387097,4.04403703527296,13.6721141129032,1.92163016192237,2.19745967741936,0.348856934806371,-0.03,0.48,5,124,391.36,391,78.27,527.57,105.51,13.57,0.85,1.76,38.99,214.62,21.28,"sample_00001-60",1,"05.10.22",2,12
"sample_00001",54.3048214285714,6.03299296187575,235.493035714286,48.9464504130352,63.9981,7.27239950325888,26.8241625,3.30664426940289,11.2131482142857,2.03386122808054,2.47057142857143,0.531245944895821,0.07,0.63,1.12,28,51.28,29,26.23,94.14,84.05,6.46,0.78,1.37,34.17,161.41,19.62,"sample_00001-79",1,"05.10.22",2,12
"sample_00001",54.4447289719626,3.40209830803711,216.451682242991,36.6382795436912,55.5245158878504,5.01251504256247,23.5156626168224,1.9505641138091,11.6923121495327,1.46329587083601,2.04006542056075,0.294426505902386,-0.01,0.54,4.72,107,404.32,404,85.66,455.25,96.45,14.27,0.51,2.28,34.04,190.23,12.75,"sample_00001-87",1,"05.10.22",2,12
"sample_00001",56.806752,4.22928461817698,570.41334,95.5256045249295,89.2929743999999,7.98846980985775,34.8393636,3.57459040385577,20.8487844,3.16190024978228,1.708184,0.29726838053267,0.01,0.71,5,125,204.54,175,35.02,374.89,74.98,7.19,0.31,1.38,34.43,179.78,7.69,"sample_00001-9",1,"05.10.22",2,12
"sample_00002",54.1706,4.23244373140338,225.6710625,39.2092342743456,56.48592375,4.82766544847438,23.94997875,1.98724778183658,11.97747,1.68330016810466,2.03390833333333,0.299104096317944,-0.01,0.56,5,120,250.4,250,50.08,520.95,104.19,18.1,0.63,2.22,36.63,192.59,15.69,"sample_00002-1",2,"05.10.22",2,12
"sample_00002",51.2922916666667,3.99466504844784,237.1528125,54.0269836089244,58.1742,7.72202690052598,24.277640625,3.23754213842052,12.37275,1.78492718723297,1.9956875,0.358022414385088,-0.03,0.65,2.28,48,135.72,133,58.32,299.86,131.52,101.32,0.86,14.26,174.78,1266.5,21.48,"sample_00002-110",2,"05.10.22",2,12
"sample_00002",48.846037037037,2.05977032852399,346.275,147.645863535796,70.21425,15.1108155570134,27.58995,4.99570527609235,15.5349,4.91300304711503,1.89214814814815,0.472180515000819,-0.01,0.67,1.28,27,45.39,31,24.22,105.47,82.4,18.48,0.24,3.93,51.74,207.14,5.94,"sample_00002-119",2,"05.10.22",2,12
"sample_00002",58.568504,5.30246590173824,402.97662,66.0823846033458,81.8047512,8.1099999894606,35.3623644,4.11947207372036,14.545818,2.00057288139326,2.477616,0.4422047180268,0.05,0.54,5,125,164.79,165,32.96,445.52,89.1,8.25,0.35,1.48,37.12,206.35,8.69,"sample_00002-14",2,"05.10.22",2,12
"sample_00002",54.7277735849057,4.96224417918992,269.558066037736,59.0971219009956,61.1828150943396,7.02245313815994,25.2347858490566,3.0664692134374,13.5305150943396,2.01829565948468,1.89858490566038,0.335029989126247,-0.02,0.89,2.12,53,115.81,116,54.63,158.83,74.92,6.4,0.69,1.4,34.92,160.09,17.24,"sample_00002-15",2,"05.10.22",2,12
"sample_00002",51.0539775280899,3.30411539522212,229.266404494382,45.2576026275167,53.6174039325843,6.18802506578976,21.4283679775281,2.51486789682479,13.6055426966292,2.04523647729123,1.60805617977528,0.298963982307331,0.02,0.55,4,89,228.81,229,57.2,335.74,83.94,11.11,0.6,1.94,29.55,183.2,14.9,"sample_00002-159",2,"05.10.22",2,12
"sample_00002",53.5648870967742,5.05063758868025,450.804193548387,91.2769538332212,90.9520911290323,13.1394622039591,39.5052677419355,6.17046471762632,14.5114439516129,1.93190720164189,2.76349193548387,0.54911379447618,-0.01,0.5,5,124,335.11,335,67.02,435.33,87.07,10.87,0.41,1.72,39.88,188.82,10.19,"sample_00002-17",2,"05.10.22",2,12
"sample_00002",50.5865070422535,3.60919822071028,299.40338028169,55.845518571161,63.621335915493,6.76241860761256,25.8101936619718,3.14443117416591,14.7569450704225,2.07061986452565,1.78450704225352,0.340008818088987,-0.09,0.83,2.88,71,107.09,107,37.19,217.88,75.65,6.7,0.2,1.46,35.98,167.5,4.94,"sample_00002-176",2,"05.10.22",2,12
"sample_00002",51.359,3.34387768250508,247.10722826087,47.8401156028781,58.3148054347826,7.33018711468941,23.6885380434783,3.35341929224129,13.233727173913,1.42316423120011,1.80423913043478,0.28424638645471,-0.07,0.62,2.04,46,132.08,132,64.74,191.91,94.07,10.06,1.22,1.81,34.9,179.38,30.57,"sample_00002-2",2,"05.10.22",2,12
"sample_00002",53.3899690721649,4.53656262689974,288.819278350515,69.1275339028105,63.8010695876289,8.82701661718324,26.5238675257732,4.69080925593602,13.8906649484536,2.55868766209243,1.9661030927835,0.460206803253894,0.01,0.45,4,97,134.68,51,12.84,369.02,92.25,10.94,0.7,1.65,32.58,160.97,17.53,"sample_00002-20",2,"05.10.22",2,12
"sample_00002",50.9063409090909,3.55475475844764,238.209034090909,43.5392400673709,58.6753875,6.77361361037733,24.6159920454545,3.46724311797997,12.3267272727273,1.49120166876024,2.02452272727273,0.361237375325317,-0.02,0.58,1.88,44,139.78,140,74.35,157.09,83.56,10.66,0.47,2.03,31.5,146.86,11.66,"sample_00002-203",2,"05.10.22",2,12
"sample_00002",51.5859782608696,2.82165865711902,226.069239130435,37.7080031509285,57.424597826087,6.12900902929808,24.3515934782609,2.67676036879593,11.8245032608696,1.56542878965769,2.09365217391304,0.346948873427983,-0.21,0.71,1.96,46,93.31,93,47.61,150.18,76.62,13.6,0.4,2.03,33.71,146.24,10.02,"sample_00002-204",2,"05.10.22",2,12
"sample_00002",57.7936034482759,3.94058413211149,316.596530172413,45.8464362393058,65.010565086207,5.11420682297265,26.3969224137931,2.58838255470347,15.3335793103448,2.23719427688449,1.76271551724138,0.336938203753189,-0.06,0.64,4.64,116,266.49,265,57.02,423.91,91.36,7.39,0.57,1.35,33.7,184.86,14.35,"sample_00002-21",2,"05.10.22",2,12
"sample_00002",57.171016,5.10764589260631,360.855,57.6538861946597,72.7330428,6.83409975634137,30.2383368,3.30809250332731,15.2757252,2.43757044893747,2.039776,0.438175650889296,-0.04,0.4,5,125,395.77,396,79.15,506.98,101.4,9.71,0.6,1.6,39.91,242.65,14.99,"sample_00002-24",2,"05.10.22",2,12
