"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","day","trophic_type"
"sample_00001",56.2215581395349,3.40655687994509,183.860581395349,19.1278146453355,47.4348244186046,3.92104133051917,18.7969918604651,1.38986188136714,12.4523372093023,0.881043737704984,1.51632558139535,0.150628954550773,0.06,0.73,2.2,43,241.16,207,94.3,361.8,164.45,182.68,0.79,27.94,226.12,1522.31,9.83,"sample_00001-538","22.09.22",0,0,"autotrophic"
"sample_00001",48.6258139534884,2.38417179646072,369.246976744186,101.198689914172,67.0227906976744,10.0102930161627,23.3046418604651,3.0574181447387,19.8222069767442,3.10000299440296,1.18437209302326,0.0943993601814006,-0.39,0.86,1.8,43,63.29,63,35.16,131.35,72.97,6.11,0.57,1.3,30.28,149.9,14.36,"sample_00001-56","22.09.22",0,0,"autotrophic"
"sample_00001",57.0156046511628,4.10925098689666,212.851046511628,40.0961008607555,51.013988372093,5.49072054484001,20.0259313953488,2.14356414768508,13.4887604651163,1.63097910998556,1.50088372093023,0.206991282229852,-0.06,0.69,1.84,43,227.79,219,118.93,300.27,163.19,164.58,1.11,24.91,200.91,1371.53,27.72,"sample_00001-609","22.09.22",0,0,"autotrophic"
"sample_00001",52.055225,3.46005009958912,269.821125,72.4981174931327,58.97822625,8.41966025912572,23.58345375,2.73799775948541,14.40898875,2.68768543518843,1.6763,0.286887827627848,-0.04,0.61,1.76,40,118.72,119,67.45,137.44,78.09,11.61,0.54,2.12,35.12,176.69,13.46,"sample_00001-621","22.09.22",0,0,"autotrophic"
"sample_00001",60.3155476190476,2.70659741573213,288.215357142857,53.9944712435388,62.335575,7.13811760897386,24.54705,2.61663867588208,14.8590642857143,1.60149916127715,1.661,0.17890452556683,0.05,0.63,1.68,42,143.58,142,84.42,165.5,98.51,7.09,0.07,1.64,40.98,177.33,1.87,"sample_00001-636","22.09.22",0,0,"autotrophic"
"sample_00001",57.7741785714286,2.52717179139597,187.457142857143,20.1772586361832,49.2086571428571,4.3427756137554,19.6892196428571,1.86762062282562,12.1774821428571,1.39336017559301,1.64264285714286,0.279471354695321,-0.44,0.75,1.24,28,34.26,34,27.63,91.33,73.65,7.31,1.05,1.43,25.51,116.8,26.17,"sample_00001-698","22.09.22",0,0,"autotrophic"
"sample_00001",48.7010967741936,2.19751936441735,319.584193548387,82.651997065475,64.4272693548387,9.20779623697293,24.1659580645161,3.46592954364571,16.5722080645161,2.31719594240887,1.46129032258064,0.126693644552095,-0.01,0.39,1.24,31,125.01,125,100.82,132.16,106.58,6.57,1.76,1.14,28.45,164.37,44.06,"sample_00001-699","22.09.22",0,0,"autotrophic"
"sample_00001",57.00808,4.8561053060383,250.6302,49.552565124068,56.324484,5.95142625464896,21.524778,2.35055177795555,14.761764,2.05869555223083,1.48064,0.223677759287775,-0.33,0.97,1.12,25,40.73,41,36.37,77.63,69.31,9.37,0.07,2.14,38.22,126.41,1.85,"sample_00001-709","22.09.22",0,0,"autotrophic"
"sample_00001",66.2593269230769,5.12451389457883,248.876394230769,37.5612480262253,54.7533519230769,4.54472229115506,20.4644942307692,2.04484432471497,15.4518403846154,1.44173778877173,1.33380769230769,0.166473107816075,-0.46,0.58,2.08,52,36.65,34,16.35,184.55,88.73,6.14,0.6,1.28,31.89,153.43,14.9,"sample_00001-71","22.09.22",0,0,"autotrophic"
"sample_00001",51.5528484848485,4.36006660013075,273.375,104.19676559542,67.6234636363636,12.2389258233481,27.3645,3.54532447344827,12.4878681818182,3.36681204235778,2.29793939393939,0.513219369482604,0.2,1.2,1.44,33,78.31,71,49.63,116.07,80.6,9.41,0.64,2.23,49.93,207.66,15.89,"sample_00001-95","22.09.22",0,0,"autotrophic"
