"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","species","comment","manual_count"
"sample_00002",136.944472,22.3697309328765,11278.62144,598.775626690057,479.646684,20.0700967468864,194.8164696,8.90857953241247,73.7088984,1.86405369435566,2.644616,0.136394339585511,0.01,0.08,5,125,877.22,877,175.44,931.71,186.34,16.82,3.77,1.67,41.8,420.6,94.34,"sample_00002-29","22.09.22","Ble",NA,16
"sample_00002",118.2434,10.8732151171524,13067.15004,1001.56273442386,533.7622332,44.3087197438931,212.3903592,21.2665904782163,78.6529116,4.36219460018053,2.718288,0.367879709828126,-0.01,0.09,5,125,1710.03,1710,342.01,1785.43,357.09,25.46,6.42,3.91,97.78,636.45,160.46,"sample_00002-30","22.09.22","Ble",NA,16
"sample_00002",118.445584,11.6105692583511,11192.4099,958.921738769025,511.2081396,39.4868210618645,200.8979496,18.8859581821405,71.1522144,4.60503839336301,2.844224,0.390598627914938,0.01,0.39,5,125,756.65,757,151.33,779.4,155.88,21.43,0.36,3.34,83.48,535.8,9.04,"sample_00002-31","22.09.22","Ble",NA,16
"sample_00002",137.127888,17.9877814704674,13348.61694,957.835020135919,565.5610836,48.840704087031,213.1694172,19.8553012253768,79.910712,2.72478350819811,2.67684,0.324846747986523,0,0.2,5,125,605.96,606,121.19,883.41,176.68,19.78,0.5,2.91,72.7,494.52,12.45,"sample_00002-32","22.09.22","Ble",NA,16
"sample_00002",82.240776,6.16603476765019,11553.00246,869.292825610195,553.4251452,44.3853430895624,220.4780472,17.6681366342585,66.8160576,2.97720576990119,3.311096,0.346448837725414,0.07,0.54,5,125,751.3,751,150.26,1170.52,234.1,31.68,0.64,6.03,150.66,791.9,16.03,"sample_00002-34","22.09.22","Ble",NA,16
"sample_00002",95.5754444444444,7.95064714286966,8036.80442307693,1508.53111298765,427.049965384616,66.1108411956724,172.655480769231,28.4935502044215,58.5040153846154,6.60798797959471,2.94863247863248,0.379226517657541,-0.01,0.1,4.68,117,1438.19,1438,307.31,1734.82,370.69,27.64,5.28,5.44,136.03,690.98,132.08,"sample_00002-35","22.09.22","Ble",NA,16
"sample_00002",74.8698484848485,11.3421500720796,3826.75295454545,1722.25998518485,290.873454545454,77.3023517103502,117.121459090909,33.7638357960168,39.5876454545455,13.2053558428742,3.35663636363636,2.13324680385003,-0.07,0.17,1.32,33,170.29,170,129.01,194.95,147.69,8.18,2.29,1.34,33.6,204.55,57.29,"sample_00002-40","22.09.22","Ble",NA,16
"sample_00002",91.2337692307692,6.35216755346716,7330.095,1185.64248005006,411.600253846154,50.720917483028,168.83865,22.3950470620565,54.7184423076923,5.50457444680854,3.07704273504273,0.297959335143827,0,0.04,4.68,117,2230.07,2230,476.51,2235.8,477.74,52.24,4.45,4.34,108.58,1305.94,111.17,"sample_00002-45","22.09.22","Ble",NA,16
"sample_00002",120.324295652174,6.73678709664386,10774.0177826087,620.879331134672,501.584576086956,40.279137974534,205.487350434783,18.9970501151847,67.092757826087,4.41087022025566,3.08990434782609,0.442858041765495,0.03,0.15,4.6,115,1198.31,1198,260.5,1474.11,320.46,48.81,4.7,6.31,157.75,1220.34,117.62,"sample_00002-48","22.09.22","Ble",NA,16
"sample_00002",96.806185483871,19.6031069154273,4226.15703629032,2653.65974463417,285.275075806452,146.587449061366,110.954616532258,57.5909267041364,41.2489233870968,15.5021879958343,2.48829032258065,0.803471540661867,0.03,0.76,5,124,1118.47,1118,223.69,1235.78,247.16,44.76,0.19,7.62,175.55,711.33,2.43,"sample_00002-5","22.09.22","Ble",NA,16
"sample_00002",108.245289719626,13.1483021071948,10915.9403971963,2937.8151371989,485.778764018692,91.6613278598053,193.785686915888,39.2829103130002,69.1187761682243,13.4021236943848,2.78839252336449,0.206647670120459,0,0.32,4.28,107,1087.11,1087,254,1130.34,264.1,24.13,1.06,5.68,142.05,603.31,26.6,"sample_00002-56","22.09.22","Ble",NA,16
"sample_00002",96.9939245283019,10.1677803137428,6405.79521226415,1864.22417987688,363.791173584906,88.3518669067276,141.386684433962,37.4659639709884,56.3934608490566,8.8041252485601,2.48706603773585,0.603828267431946,-0.03,0.31,4.24,106,650.42,650,153.4,831.67,196.15,35.23,0.82,7.34,183.51,880.77,20.42,"sample_00002-57","22.09.22","Ble",NA,16
"sample_00002",75.89059375,1.4899587753417,6136.072734375,291.439057266086,351.25498125,25.8303857869569,131.8698984375,8.27569511904983,59.3149078125,1.4003612339327,2.22696875,0.17980751076476,0.12,0.42,1.28,32,305.76,306,238.88,362.58,283.27,25.47,0.64,8.92,222.98,636.86,15.93,"sample_00002-6","22.09.22","Ble",NA,16
"sample_00002",94.4012197802198,6.0453134847531,5347.39524725275,890.959262026364,352.410705494505,48.2219794230571,143.182943406593,20.5806397939412,47.0598873626373,4.94021125915005,3.03528571428571,0.339649959867648,0,0.08,3.64,91,1210.37,1210,332.52,1223.12,336.02,27.73,3.66,3.61,90.18,693.31,91.62,"sample_00002-73","22.09.22","Ble",NA,16
"sample_00002",115.756848,6.65483086968625,8321.84118,653.121131025859,470.5761096,46.545825828781,194.9553036,20.0709388280931,54.5728752,3.24326059286186,3.599424,0.53228018731346,0,0.07,5,125,1657.56,1658,331.51,1768.3,353.66,38.41,4.7,4.68,116.98,960.2,117.55,"sample_00002-8","22.09.22","Ble",NA,16
"sample_00002",104.042686567164,9.76326571079909,7397.03787313433,2287.21454166744,426.113617164179,101.218117084275,171.04111119403,43.3554133561457,52.834728358209,9.99933534839003,3.18017910447761,0.476887761567142,0,0.33,2.68,67,1077.47,1077,402.04,1085.94,405.2,45.7,1.03,7.88,197,1142.43,25.85,"sample_00002-91","22.09.22","Ble",NA,16
"sample_00003",127.956704,10.8610228466098,14737.9743,2420.78716391215,589.1936112,60.5792949757781,242.9141076,24.1651416350356,76.7145492,9.46268986452248,3.206544,0.401874950539304,0,0.04,5,125,2340.41,2340,468.08,2355.79,471.16,34.17,8.25,3.79,94.84,854.14,206.33,"sample_00003-1","22.09.22","Ble",NA,5
"sample_00003",111.889573033708,12.9456869080082,7992.25634831461,1686.41191030304,444.100065168539,72.4485623153763,183.544088764045,31.7981888738606,54.5193252808989,7.5486130628494,3.38379775280899,0.478484923762097,-0.02,0.22,3.56,89,1123.7,1124,315.65,1177.19,330.67,28.07,0.84,6.21,155.15,701.64,20.9,"sample_00003-18","22.09.22","Ble",NA,5
"sample_00003",115.498932038835,11.3683007993263,11282.2127912621,2408.10372843064,543.832820388349,87.5054133282001,225.210827184466,38.0165192815718,62.7507786407767,8.65988846740376,3.62795145631068,0.602235563621907,-0.01,0.07,4.12,103,1787.02,1787,433.74,1904.17,462.18,30.42,5.54,4.01,100.27,760.57,138.57,"sample_00003-2","22.09.22","Ble",NA,5
