"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","culture_ID","date","time_point","day"
"sample_00001",23.59764,1.97722546073548,542.06982,88.5229258840567,90.2342268,7.29607787912435,35.4811428,4.21642996025142,19.6480404,3.4492757574709,1.88036,0.472255029516072,-0.04,0.42,5,125,207.9,208,41.56,452.74,90.55,9.55,0.67,1.32,32.94,238.74,16.81,"sample_00001-1",1,"12.10.22",3,19
"sample_00001",32.813592,5.022334203972,1163.2653,71.2414715337234,124.4598696,4.95811976057024,41.5618128,1.42505152478869,35.6482296,2.05398875651719,1.170136,0.0852182533831656,0,0.37,5,125,360,360,72,411.96,82.39,5.43,0.92,0.84,21.05,135.72,23.01,"sample_00001-24",1,"12.10.22",3,19
"sample_00001",23.834872,1.64435136234283,1063.14444,119.146136521375,118.8028296,6.76393649205194,40.514256,2.508025407467,33.3414144,2.29137718796642,1.218264,0.081470867938059,0,0.28,5,125,511.39,511,102.28,541.98,108.4,8.49,1.36,1.12,28,212.37,33.99,"sample_00001-25",1,"12.10.22",3,19
"sample_00001",28.07568,8.35350526927894,746.90424,116.906333925143,101.6027388,6.61649242998455,33.6416328,2.06467345684282,28.247454,3.9602247955074,1.219424,0.224067359687705,0.06,0.48,5,125,121.46,94,18.89,416.43,83.29,6.67,0.6,1.07,26.7,166.86,14.89,"sample_00001-27",1,"12.10.22",3,19
"sample_00001",28.496704,1.49734308792866,1625.68458,112.473334566831,147.342078,5.89291964321824,49.2232788,2.35095232393296,42.0340104,1.88416261881103,1.172888,0.069262615713557,-0.01,0.55,5,125,186.94,169,33.8,389.42,77.88,5.75,0.51,1.09,27.32,143.78,12.69,"sample_00001-28",1,"12.10.22",3,19
"sample_00001",23.299088,1.32780592135078,1192.00248,111.398722444866,126.1443456,7.19854292497463,42.9903612,3.46210421743972,35.3157084,2.11233913447193,1.221968,0.126187963742777,-0.04,0.42,5,125,333.57,334,66.71,428.65,85.73,6.05,1.08,1.08,27.06,151.33,26.97,"sample_00001-34",1,"12.10.22",3,19
"sample_00001",22.8019349593496,2.38034313113983,612.493353658537,143.206797339672,89.9696634146342,11.3811867860454,34.3694853658537,4.69498338787775,22.4153341463415,3.33051512277077,1.54837398373984,0.199086907391359,-0.01,0.42,5,123,387.54,388,77.51,564.01,112.8,15.44,0.83,1.82,37.93,202.42,20.79,"sample_00001-42",1,"12.10.22",3,19
"sample_00001",29.232792,3.4797071676387,909.74826,82.1590391793465,112.4118648,7.18970458444109,41.9054472,4.92534883122875,27.8063928,2.24630283694571,1.527344,0.292942802520197,-0.01,0.4,5,125,306.43,306,61.29,412.56,82.51,6.49,1.23,0.9,22.52,162.15,30.79,"sample_00001-45",1,"12.10.22",3,19
"sample_00001",38.222288,3.18878250559677,701.764560000001,49.1450250175766,96.5684267999999,3.91463598139037,35.7752052,2.351470528903,25.0256628,1.71699316331167,1.438888,0.161311220736451,-0.02,0.56,5,125,248.73,240,48.08,449.51,89.9,6.02,0.39,1.26,31.46,150.55,9.65,"sample_00001-5",1,"12.10.22",3,19
"sample_00001",30.9151724137931,2.53361765732273,897.612672413793,253.155409483704,107.589087931034,17.0809827531634,37.5312103448276,4.31892624507815,29.8489189655172,6.93498236275198,1.33975862068966,0.392242695932398,0,0.39,1.16,29,90.32,90,77.86,97.14,83.74,5.75,1.56,0.95,23.73,143.79,38.93,"sample_00001-7",1,"12.10.22",3,19
"sample_00001",38.838216,6.59754153574428,815.00742,94.0503923104181,107.3865924,7.27222052593462,40.4722332,4.1097161547654,25.7866092,3.26044777714276,1.605888,0.317736785365172,0.03,0.39,5,125,225.24,225,45.05,473.5,94.7,6.69,0.53,1.39,34.87,167.22,13.37,"sample_00001-8",1,"12.10.22",3,19
"sample_00001",25.8498571428571,1.49700175140094,607.361142857143,179.216744921952,93.7917514285714,10.1806451497255,36.0216257142857,2.91901097803821,21.4603714285714,6.2214738888703,1.90557142857143,0.853724789851345,0.02,0.32,1.4,35,115.01,115,82.15,125.67,89.76,7.72,2.02,1.17,29.37,192.95,50.39,"sample_00001-98",1,"12.10.22",3,19
"sample_00002",27.135088,3.60528337442918,675.1269,110.962053128154,99.1849859999999,9.13997983402342,38.8175328,4.85675247155585,22.2595452,3.69474212282404,1.797448,0.385206740804585,-0.07,0.55,5,125,171.68,172,34.34,438.7,87.74,6.21,0.6,1.25,31.17,155.32,14.99,"sample_00002-101",2,"12.10.22",3,19
