"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","culture_ID","date","time_point","day"
"sample_00001",60.1190420168068,5.02639883286565,227.980966386554,37.3787563614711,55.0802382352941,4.88827317417602,21.9065521008403,1.97503195257777,13.252825210084,1.86690358991033,1.68632773109244,0.288339345429608,-0.01,0.53,5,119,248.57,240,47.92,451.36,90.27,13.89,0.18,1.88,31.47,172.12,4.44,"sample_00001-2",1,"12.10.22",3,19
"sample_00001",54.5566923076923,2.44962432661387,221.43375,39.9763619796124,59.3395096153846,6.47078552628689,25.0372557692308,2.70952360869312,11.2275346153846,1.34421802961939,2.25703846153846,0.323926347279036,-0.01,0.66,1.16,26,94.2,94,81.2,108.53,93.56,9.4,0.67,2.23,39.18,190.43,16.73,"sample_00001-3",1,"12.10.22",3,19
"sample_00001",60.2542372881356,5.44304577622069,255.76779661017,51.7007363510657,58.012543220339,6.59855618747492,22.9373466101695,3.13585025907104,14.2743966101695,2.59977110671611,1.67013559322034,0.425217609913143,0.01,0.49,2.4,59,117.07,117,48.78,190.39,79.33,9.45,0.41,1.77,39.97,179.42,10.37,"sample_00001-30",1,"12.10.22",3,19
"sample_00001",52.2756571428571,3.05790659787779,229.635,42.8464239190047,52.6412057142857,5.98230544319677,19.6478228571429,2.3147349688318,14.8407042857143,1.74001069335674,1.33785714285714,0.20165960586755,-0.02,0.65,1.48,35,93.35,93,63.07,109.94,74.28,7.88,0.91,1.45,26.97,130.81,22.86,"sample_00001-46",1,"12.10.22",3,19
"sample_00002",55.4365555555555,4.09716490423869,289.7775,37.0090312687936,65.68218,6.19134404878185,27.27216,3.5364913408535,13.59891,1.3791203281028,2.03462222222222,0.382101146110013,0.01,0.54,1.8,45,154.38,154,85.77,175.56,97.53,9.74,0.59,1.67,41.7,243.43,14.7,"sample_00002-10",2,"12.10.22",3,19
"sample_00002",52.7345263157895,3.84342518789744,227.045131578947,45.686716946916,53.136,6.19577774010089,20.7318434210526,2.93753167727994,13.9258184210526,1.94119164458403,1.51234210526316,0.268464228460731,0.11,0.67,1.8,38,59.61,11,6.36,172.09,95.61,18.27,1.15,3.02,44.57,165.96,13.92,"sample_00002-138",2,"12.10.22",3,19
"sample_00002",54.7384523809524,3.17757586850671,216.747321428571,29.5502070140125,53.6724321428571,4.31299749506272,21.7220785714286,1.90487071375329,12.7653107142857,1.83243883961211,1.74476190476191,0.347695746554215,-0.2,0.77,1.76,42,92.68,91,51.84,130.77,74.3,5.15,0.63,1.09,26.68,128.85,15.67,"sample_00002-165",2,"12.10.22",3,19
"sample_00002",56.6376712328767,4.05162133888944,202.447294520548,31.4344613335777,51.3839589041096,5.65474036618063,20.955698630137,2.42507808859055,12.3563280821918,1.69845115603702,1.73952054794521,0.398235417170026,0.04,0.65,3.16,73,136.5,137,43.2,282.9,89.53,11.81,0.81,1.96,34.88,187.09,20.25,"sample_00002-18",2,"12.10.22",3,19
"sample_00002",56.48825,3.15108010435693,264.197410714286,38.2306339892921,60.4954285714286,6.36713411063857,24.9203732142857,3.55552447679513,13.5348107142857,1.07150883020827,1.85725,0.330587538135318,0.03,0.55,1.12,28,81.33,81,72.61,90.91,81.17,6.19,0.37,1.74,43.54,154.86,9.33,"sample_00002-188",2,"12.10.22",3,19
"sample_00002",52.1995882352941,2.53157323650726,201.895477941176,26.7737771619576,52.6150985294117,4.19560500064242,21.1539838235294,1.8957445156101,12.1715007352941,1.37550368404192,1.76151470588235,0.260730116807322,-0.03,0.47,3.08,68,231.95,232,75.31,272.62,88.51,8.74,1.05,1.71,29.99,170.9,26.14,"sample_00002-28",2,"12.10.22",3,19
